ADMS,2016-02-16,"[-60, -30)","Zero Price error, 2015-11-17 price is : null | Zero Price error, 2015-11-18 price is : null | Zero Price error, 2015-11-19 price is : null | Zero Price error, 2015-11-20 price is : null | Zero Price error, 2015-11-23 price is : null | Zero Price error, 2015-11-24 price is : null | Zero Price error, 2015-11-25 price is : null | Zero Price error, 2015-11-27 price is : null | Zero Price error, 2015-11-30 price is : null | Zero Price error, 2015-12-01 price is : null | Zero Price error, 2015-12-02 price is : null | Zero Price error, 2015-12-03 price is : null | Zero Price error, 2015-12-04 price is : null | Zero Price error, 2015-12-07 price is : null | Zero Price error, 2015-12-08 price is : null | Zero Price error, 2015-12-09 price is : null | Zero Price error, 2015-12-10 price is : null | Zero Price error, 2015-12-11 price is : null | Zero Price error, 2015-12-14 price is : null | Zero Price error, 2015-12-15 price is : null | Zero Price error, 2015-12-16 price is : null | Zero Price error, 2015-12-17 price is : null | Zero Price error, 2015-12-18 price is : null | Zero Price error, 2015-12-21 price is : null | Zero Price error, 2015-12-22 price is : null | Zero Price error, 2015-12-23 price is : null | Zero Price error, 2015-12-24 price is : null | Zero Price error, 2015-12-28 price is : null | Zero Price error, 2015-12-29 price is : null | Zero Price error, 2015-12-30 price is : null | "
ADMS,2016-02-16,"[-2, 3)","Zero Price error, 2016-02-11 price is : null | Zero Price error, 2016-02-12 price is : null | Zero Price error, 2016-02-16 price is : null | Zero Price error, 2016-02-17 price is : null | Zero Price error, 2016-02-18 price is : null | "
ROK,2017-06-14,"[-60, -30)",the Event Date does not exist in its price file
ROK,2017-06-14,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
LLY,2017-05-25,"[-2, 3)",Not enough price data for this duration
DECK,2014-04-18,"[-60, -30)",the Event Date does not exist in its price file
DECK,2014-04-18,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
MON,2013-03-29,"[-60, -30)",the Event Date does not exist in its price file
MON,2013-03-29,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
NKE,2017-06-16,"[-60, -30)",the Event Date does not exist in its price file
NKE,2017-06-16,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
MON,2010-04-02,"[-60, -30)",the Event Date does not exist in its price file
MON,2010-04-02,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
