FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
OIIM,2011-03-03,"[-60, -30)",the Event Date does not exist in its price file
OIIM,2011-03-03,"[0, 2)",the Event Date does not exist in its price file
AAPL,2017-06-12,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-06-12,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-12,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
CSCO,2017-06-01,"[-60, -30)",the Event Date does not exist in its price file
CSCO,2017-06-01,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
CDW,2008-11-19,"[-60, -30)",the Event Date does not exist in its price file
CDW,2008-11-19,"[0, 2)",the Event Date does not exist in its price file
