Stock_Ticker,Decision_Date
CTAA,"November 25, 2013"
AAPL,"November 18, 2013"
NOK,"November 18, 2013"
RHT,"November 18, 2013"
ADBE,"November 5, 2014"
ADBE,"June 16, 2015"
CSCO,"November 5, 2014"
CSCO,"June 16, 2015"
CTXS,"November 5, 2014"
CTXS,"June 16, 2015"
IBM,"November 5, 2014"
IBM,"June 16, 2015"
MSFT,"November 5, 2014"
MSFT,"June 16, 2015"
BBY,"September 6, 2013"
MSFT,"April 4, 2014"
MSFT,"May 5, 2014"
ALGN,"July 18, 2014"
MSTR,"December 19, 2014"
PINC,"December 19, 2014"
TDC,"December 19, 2014"
AAPL,"September 10, 2014"
YHOO,"September 10, 2014"
CSCO,"August 15, 2014"
TGT,"August 15, 2014"
TGT,"August 15, 2014"
DD,"February 18, 2014"
GEVO,"February 18, 2014"
AAPL,"March 3, 2014"
TNAV,"November 18, 2014"
CNXN,"September 25, 2013"
TGT,"September 25, 2013"
GILD,"April 22, 2014"
CTXS,"October 14, 2014"
SYK,"June 27, 2014"
CBS,"May 14, 2014"
TWX,"May 14, 2014"
NOK,"August 5, 2016"
WILN,"August 1, 2014"
AAPL,"September 16, 2014"
CSCO,"September 16, 2014"
NOK,"September 16, 2014"
AAPL,"June 27, 2014"
BGG,"September 17, 2014"
BGG,"September 18, 2015"
HPQ,"September 17, 2014"
HPQ,"September 18, 2015"
INTC,"September 17, 2014"
INTC,"September 18, 2015"
JNJ,"September 17, 2014"
JNJ,"September 18, 2015"
LLNW,"September 17, 2014"
LLNW,"September 18, 2015"
ROK,"September 17, 2014"
ROK,"September 18, 2015"
XRX,"September 17, 2014"
XRX,"September 18, 2015"
XLNX,"September 17, 2014"
XLNX,"September 18, 2015"
NUVA,"March 2, 2015"
NUVA,"June 3, 2016"
NUVA,"June 3, 2016"
CSCO,"December 4, 2014"
HPQ,"December 4, 2014"
INTC,"December 4, 2014"
MSFT,"December 4, 2014"
NTGR,"December 4, 2014"
NOK,"December 4, 2014"
NVDA,"February 24, 2015"
LLNW,"September 17, 2015"
XLNX,"September 17, 2015"
SYK,"December 19, 2014"
SYK,"March 23, 2015"
SYK,"September 12, 2016"
OSTK,"July 11, 2014"
OSTK,"July 11, 2014"
AAPL,"March 17, 2015"
AAPL,"March 17, 2015"
MSTR,"April 3, 2015"
MSTR,"April 3, 2015"
ORCL,"April 3, 2015"
CAJ,"February 2, 2015"
HPQ,"February 2, 2015"
ITW,"February 24, 2015"
CBS,"February 10, 2015"
BONT,"February 10, 2015"
BAC,"July 10, 2014"
DPS,"July 10, 2014"
FDX,"July 10, 2014"
KMB,"July 10, 2014"
CRM,"July 10, 2014"
GPRO,"December 30, 2014"
AMPH,"November 10, 2015"
MNTA,"November 10, 2015"
MNTA,"November 10, 2015"
AMPH,"November 10, 2015"
MNTA,"November 10, 2015"
MNTA,"November 10, 2015"
SHLD,"April 10, 2015"
ENZ,"March 16, 2015"
AAPL,"May 18, 2015"
AAPL,"February 7, 2017"
CROX,"May 18, 2015"
CROX,"February 7, 2017"
DECK,"May 18, 2015"
DECK,"February 7, 2017"
EBAY,"May 18, 2015"
EBAY,"February 7, 2017"
FB,"May 18, 2015"
FB,"February 7, 2017"
HPQ,"May 18, 2015"
HPQ,"February 7, 2017"
LLNW,"May 18, 2015"
LLNW,"February 7, 2017"
NUVA,"May 18, 2015"
NUVA,"February 7, 2017"
CTAA,"February 12, 2015"
ADI,"August 13, 2015"
AAPL,"August 13, 2015"
INTC,"August 13, 2015"
IBM,"August 13, 2015"
TXN,"August 13, 2015"
MYGN,"December 17, 2014"
AMZN,"February 9, 2015"
AAPL,"February 24, 2015"
TGT,"June 25, 2014"
AAPL,"January 8, 2016"
WILN,"January 8, 2016"
LLY,"July 25, 2014"
SHLD,"July 30, 2015"
WMT,"July 30, 2015"
CALD,"November 20, 2014"
AAPL,"January 8, 2016"
WILN,"January 8, 2016"
HPQ,"August 4, 2015"
LLNW,"August 4, 2015"
MRVL,"August 4, 2015"
MSFT,"August 4, 2015"
XLNX,"August 4, 2015"
ADI,"August 13, 2015"
AAPL,"August 13, 2015"
INTC,"August 13, 2015"
IBM,"August 13, 2015"
TXN,"August 13, 2015"
ALGN,"November 10, 2015"
NOK,"November 10, 2015"
ALGN,"November 12, 2015"
MSFT,"June 16, 2015"
MSFT,"June 16, 2015"
BDC,"November 5, 2015"
BDC,"November 5, 2015"
PRKR,"July 31, 2015"
COST,"February 12, 2016"
COST,"February 12, 2016"
INTC,"February 12, 2016"
INTC,"February 12, 2016"
IDCC,"February 12, 2016"
IDCC,"February 12, 2016"
LB,"February 12, 2016"
LB,"February 12, 2016"
TXN,"February 12, 2016"
TXN,"February 12, 2016"
XLNX,"February 12, 2016"
XLNX,"February 12, 2016"
PRKR,"July 31, 2015"
AAPL,"September 11, 2014"
AAPL,"August 12, 2015"
F,"August 12, 2015"
CGNX,"July 20, 2015"
NKE,"February 11, 2016"
NKE,"February 11, 2016"
WMT,"April 29, 2015"
WMT,"August 5, 2016"
AAPL,"September 30, 2015"
PHG,"July 28, 2016"
T,"July 31, 2015"
FDC,"July 31, 2015"
FTR,"July 31, 2015"
HSNI,"July 31, 2015"
ODP,"July 31, 2015"
PKI,"July 31, 2015"
RAD,"July 31, 2015"
AAPL,"September 30, 2015"
PHG,"July 28, 2016"
AAPL,"September 17, 2015"
AAPL,"September 17, 2015"
AAPL,"December 16, 2015"
EBAY,"September 17, 2015"
EBAY,"September 17, 2015"
EBAY,"December 16, 2015"
FB,"September 17, 2015"
FB,"September 17, 2015"
FB,"December 16, 2015"
MSFT,"September 17, 2015"
MSFT,"September 17, 2015"
MSFT,"December 16, 2015"
NOK,"September 17, 2015"
NOK,"September 17, 2015"
NOK,"December 16, 2015"
RHT,"September 17, 2015"
RHT,"September 17, 2015"
RHT,"December 16, 2015"
ILMN,"June 23, 2015"
RTEC,"October 21, 2015"
SATS,"December 22, 2015"
AAPL,"May 18, 2015"
TMUS,"March 28, 2017"
TESO,"October 30, 2015"
NUVA,"August 9, 2016"
NUVA,"August 9, 2016"
AAPL,"December 3, 2015"
CSCO,"December 3, 2015"
HPQ,"December 3, 2015"
INTC,"December 3, 2015"
NOK,"December 3, 2015"
ATVI,"September 13, 2016"
ATVI,"September 13, 2016"
EA,"September 13, 2016"
EA,"September 13, 2016"
MDCO,"April 6, 2017"
SYMC,"February 2, 2016"
MDCO,"April 6, 2017"
AAPL,"February 26, 2016"
SNPS,"February 10, 2016"
MDCO,"April 6, 2017"
AAPL,"February 26, 2016"
SSNI,"February 29, 2016"
ORCL,"November 12, 2015"
ORCL,"November 17, 2016"
AVID,"January 29, 2016"
HLIT,"January 29, 2016"
FISV,"May 12, 2016"
INTU,"May 12, 2016"
JKHY,"May 12, 2016"
MSFT,"May 12, 2016"
MSFT,"April 1, 2016"
MSFT,"April 1, 2016"
POWI,"December 12, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
GRPN,"March 1, 2016"
